2025-12-13 18:13:47.969 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:48.896 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:48.896 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:48.896 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:49.463 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:49.463 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:49.463 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:50.322 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:50.322 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:50.322 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:50.867 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:50.867 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:50.867 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:51.412 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:51.412 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:51.412 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:52.070 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:52.070 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:52.070 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:52.927 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:52.927 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:52.927 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:53.575 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:53.575 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:53.575 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:54.275 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:54.276 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:54.276 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:55.021 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:55.021 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:55.021 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:55.684 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:55.684 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:55.684 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
2025-12-13 18:13:56.466 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - 📊 Ready to poll task for betting | Bookmaker: M_SPORT
2025-12-13 18:13:56.466 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - task polled by M_SPORT
2025-12-13 18:13:56.466 [BettingWindow-1] INFO  com.mouse.bet.window.MSportWindow - the polled task is null for M_SPORT
